Year_Month,Desempleo Nacional US,"Trabajadores asalariados privados no agrícolas, servicios de comida y bebidas US",Nivel de fuerza laboral civil US,Fuerza Laboral Nacidos en el extranjeroUS,Tasa de ocupacion Colombia,Tasa de Ocupacion US,Tasa de Desempleo Mujeres US,Tasa de Desempleo Hispano Latino,Tasa de Desempleo Hombre,Tasa de Empleo en hombres Blancos,Desempleo colombia Ajustado,Tasa de Desempleo Mujeres Col
2000 Jan,,7.7,141228,,,63.8,4.3,6.2,4.6,64.4,,7.74
2000 Feb,4.4,7.6,141775,,,64.0,4.2,6.1,4.7,64.6,5.72,7.56
2000 Mar,4.3,7.8,142123,,,64.2,4.3,6.7,4.3,64.8,5.59,7.74
2000 Apr,3.7,6.6,142138,,,64.6,3.7,5.3,3.7,65.1,4.81,6.66
2000 May,3.8,6.4,142144,,,64.4,4.1,5.3,3.6,64.9,4.94,7.38
2000 Jun,4.1,8.2,143874,,,64.9,4.5,5.5,3.9,65.5,5.33,8.1
2000 Jul,4.2,7.7,143797,,,64.8,4.6,5.9,3.8,65.4,5.46,8.28
2000 Aug,4.1,6.9,143171,,,64.5,4.6,5.9,3.6,65.1,5.33,8.28
2000 Sep,3.8,6.3,142149,,,64.2,4.1,5.5,3.5,64.7,4.94,7.38
2000 Oct,3.6,6.9,142685,,,64.4,3.7,4.9,3.5,65.0,4.68,6.66
2000 Nov,3.7,6.8,142797,,,64.4,3.8,5.7,3.7,64.8,4.81,6.84
2000 Dec,3.7,6.3,143110,,,64.5,3.4,5.6,4.0,64.9,4.81,6.12
2001 Jan,4.7,7.9,142828,,57.6,63.7,4.3,6.4,5.0,64.2,6.11,7.74
2001 Feb,4.6,7.5,143100,,56.9,63.8,4.2,6.6,4.9,64.4,5.98,7.56
2001 Mar,4.5,7.5,143664,,57.6,64.0,4.2,6.8,4.8,64.6,5.85,7.56
2001 Apr,4.2,7.6,143026,,55.8,63.9,4.0,6.0,4.4,64.4,5.46,7.2
2001 May,4.1,7.0,143023,,56.2,63.9,4.1,5.7,4.2,64.4,5.33,7.38
2001 Jun,4.7,8.2,144553,,56.2,64.1,4.8,6.6,4.7,64.7,6.11,8.64
2001 Jul,4.7,7.4,145097,,56.6,64.2,5.0,6.2,4.5,64.8,6.11,9
2001 Aug,4.9,7.3,143826,,57.4,63.5,5.2,6.5,4.6,64.1,6.37,9.36
2001 Sep,4.7,8.1,143601,,58.7,63.4,5.0,6.3,4.5,64.0,6.11,9
2001 Oct,5.0,8.3,144060,,58.6,63.4,5.0,6.9,5.0,64.0,6.5,9
2001 Nov,5.3,8.5,143987,,60.1,63.1,5.1,7.1,5.4,63.8,6.89,9.18
2001 Dec,5.4,8.1,144042,,59.4,63.0,5.1,7.7,5.7,63.6,7.02,9.18
2002 Jan,6.3,8.1,143228,,56.1,62.0,5.7,8.7,6.8,62.6,8.19,10.26
2002 Feb,6.1,8.4,144266,,57.2,62.5,5.6,7.6,6.6,63.2,7.93,10.08
2002 Mar,6.1,8.6,144334,,57.0,62.5,5.5,8.0,6.6,63.2,7.93,9.9
2002 Apr,5.7,8.7,144158,,57.8,62.6,5.5,7.6,5.9,63.3,7.41,9.9
2002 May,5.5,9.2,144527,,56.7,62.9,5.5,6.4,5.5,63.6,7.15,9.9
2002 Jun,6.0,9.2,145940,,56.0,63.1,6.1,7.2,6.0,63.8,7.8,10.98
2002 Jul,5.9,8.6,146189,,57.0,63.2,6.2,7.4,5.7,63.9,7.67,11.16
2002 Aug,5.7,8.1,145565,,55.9,63.0,5.9,7.4,5.5,63.7,7.41,10.62
2002 Sep,5.4,8.4,145167,,57.0,63.0,5.4,7.0,5.3,63.5,7.02,9.72
2002 Oct,5.3,8.8,145320,,58.3,63.0,5.4,7.6,5.3,63.6,6.89,9.72
2002 Nov,5.6,9.1,144854,,58.0,62.5,5.4,7.6,5.9,63.3,7.28,9.72
2002 Dec,5.7,7.7,144807,,56.7,62.4,5.1,7.9,6.2,63.1,7.41,9.18
2003 Jan,6.5,8.8,145301,,56.4,61.8,5.6,8.8,7.2,62.5,8.45,10.08
2003 Feb,6.4,9.6,145693,,57.1,62.0,5.6,8.3,7.0,62.8,8.32,10.08
2003 Mar,6.2,9.4,145801,,59.0,62.1,5.6,8.3,6.7,62.9,8.06,10.08
2003 Apr,5.8,8.9,145925,,57.4,62.3,5.3,7.2,6.3,63.1,7.54,9.54
2003 May,5.8,8.5,146067,,59.5,62.3,5.5,7.4,6.1,63.0,7.54,9.9
2003 Jun,6.5,9.7,148117,,57.1,62.7,6.4,8.2,6.7,63.4,8.45,11.52
2003 Jul,6.3,9.6,147822,,57.8,62.6,6.3,8.2,6.3,63.4,8.19,11.34
2003 Aug,6.0,10.0,146967,,58.8,62.4,6.2,7.6,5.9,63.1,7.8,11.16
2003 Sep,5.8,8.9,146166,,59.0,62.1,5.8,7.0,5.8,62.8,7.54,10.44
2003 Oct,5.6,8.8,146787,,60.3,62.4,5.5,7.1,5.6,63.2,7.28,9.9
2003 Nov,5.6,9.1,146969,,60.4,62.4,5.2,7.3,6.0,63.1,7.28,9.36
2003 Dec,5.4,8.2,146501,,59.8,62.3,5.0,6.5,5.8,63.0,7.02,9
2004 Jan,6.3,10.2,146068,,56.4,61.6,5.8,8.3,6.7,62.3,8.19,10.44
2004 Feb,6.0,9.5,146154,,56.8,61.8,5.5,8.1,6.4,62.5,7.8,9.9
2004 Mar,6.0,9.2,146525,,58.4,61.9,5.6,8.0,6.4,62.6,7.8,10.08
2004 Apr,5.4,8.1,146260,,57.2,62.1,5.1,6.7,5.6,62.9,7.02,9.18
2004 May,5.3,8.8,146659,,57.7,62.3,5.1,6.3,5.5,63.1,6.89,9.18
2004 Jun,5.8,9.9,148478,,56.4,62.7,6.0,6.5,5.6,63.5,7.54,10.8
2004 Jul,5.7,9.1,149217,,58.1,63.0,6.1,6.9,5.4,63.8,7.41,10.98
2004 Aug,5.4,9.1,148166,,57.5,62.7,5.6,6.7,5.2,63.4,7.02,10.08
2004 Sep,5.1,7.9,147186,,57.9,62.4,5.2,6.6,5.0,63.1,6.63,9.36
2004 Oct,5.1,7.9,147978,,58.6,62.6,5.1,6.4,5.1,63.4,6.63,9.18
2004 Nov,5.2,8.6,148246,,59.3,62.6,5.0,6.6,5.3,63.4,6.76,9
2004 Dec,5.1,7.5,147877,,58.1,62.4,4.7,6.6,5.5,63.2,6.63,8.46
2005 Jan,5.7,9.0,147125,,57.0,61.7,5.2,6.9,6.2,62.5,7.41,9.36
2005 Feb,5.8,8.8,147649,,56.8,61.8,5.2,7.0,6.3,62.7,7.54,9.36
2005 Mar,5.4,8.0,147745,,57.2,62.0,4.9,6.1,5.8,62.8,7.02,8.82
2005 Apr,4.9,7.9,148274,,57.7,62.5,4.9,6.0,5.0,63.3,6.37,8.82
2005 May,4.9,8.2,148878,,57.7,62.7,5.0,5.4,4.8,63.5,6.37,9
2005 Jun,5.2,8.7,150327,,57.4,63.1,5.5,5.6,5.0,63.7,6.76,9.9
2005 Jul,5.2,8.3,151122,,58.5,63.4,5.7,5.5,4.8,64.0,6.76,10.26
2005 Aug,4.9,7.4,150469,,57.7,63.2,5.2,5.7,4.6,63.9,6.37,9.36
2005 Sep,4.8,7.6,149838,,58.3,62.9,5.1,6.2,4.6,63.5,6.24,9.18
2005 Oct,4.6,7.2,150304,,60.3,63.2,5.0,5.6,4.4,63.7,5.98,9
2005 Nov,4.8,8.1,150239,,59.4,62.9,4.9,6.0,4.8,63.7,6.24,8.82
2005 Dec,4.6,7.8,149874,,59.8,62.8,4.4,6.1,4.8,63.6,5.98,7.92
2006 Jan,5.1,8.0,149090,,56.8,62.2,4.9,6.4,5.3,63.0,6.63,8.82
2006 Feb,5.1,9.0,149686,,57.2,62.3,4.7,6.0,5.5,63.0,6.63,8.46
2006 Mar,4.8,7.7,150027,,58.6,62.6,4.5,5.5,5.1,63.3,6.24,8.1
2006 Apr,4.5,7.6,150209,,56.8,62.8,4.4,5.0,4.6,63.6,5.85,7.92
2006 May,4.4,7.2,150696,,57.3,63.1,4.3,4.4,4.5,63.7,5.72,7.74
2006 Jun,4.8,8.1,152557,,59.3,63.5,5.0,5.1,4.6,64.2,6.24,9
2006 Jul,5.0,7.6,153208,,57.8,63.6,5.3,5.3,4.6,64.3,6.5,9.54
2006 Aug,4.6,7.7,152465,,55.6,63.4,5.0,5.3,4.4,64.1,5.98,9
2006 Sep,4.4,7.2,151635,,54.7,63.2,4.8,5.2,4.0,63.9,5.72,8.64
2006 Oct,4.1,6.7,152397,,55.7,63.6,4.3,4.4,4.0,64.3,5.33,7.74
2006 Nov,4.3,7.1,152590,,55.9,63.5,4.4,5.0,4.3,64.2,5.59,7.92
2006 Dec,4.3,5.5,152571,,55.1,63.5,4.0,5.0,4.5,64.1,5.59,7.2
2007 Jan,5.0,7.7,151924,22356,53.2,62.6,4.6,6.4,5.4,63.2,6.5,8.28
2007 Feb,4.9,7.0,151879,22579,55.7,62.6,4.2,5.8,5.4,63.2,6.37,7.56
2007 Mar,4.5,6.8,152236,22785,55.1,62.9,4.1,5.4,5.0,63.6,5.85,7.38
2007 Apr,4.3,7.0,151829,22793,57.4,62.8,4.1,5.2,4.5,63.5,5.59,7.38
2007 May,4.3,7.6,152350,22973,56.0,63.0,4.1,5.3,4.4,63.7,5.59,7.38
2007 Jun,4.7,8.0,154252,23051,56.2,63.4,4.8,5.5,4.7,64.1,6.11,8.64
2007 Jul,4.9,8.0,154871,23312,56.1,63.5,5.2,6.0,4.6,64.1,6.37,9.36
2007 Aug,4.6,7.7,153493,23308,56.2,63.0,5.0,5.4,4.3,63.6,5.98,9
2007 Sep,4.5,7.4,153400,23280,56.8,63.0,4.6,5.6,4.4,63.7,5.85,8.28
2007 Oct,4.4,8.0,153516,23258,59.4,63.1,4.4,5.3,4.4,63.8,5.72,7.92
2007 Nov,4.5,8.3,154035,23104,58.6,63.2,4.5,5.6,4.5,63.9,5.85,8.1
2007 Dec,4.8,7.6,153705,22810,56.9,62.8,4.4,6.3,5.1,63.5,6.24,7.92
2008 Jan,5.4,9.7,152828,22564,54.7,62.2,4.8,7.2,5.9,62.8,7.02,8.64
2008 Feb,5.2,8.7,152503,22502,56.7,62.1,4.6,6.9,5.7,62.7,6.76,8.28
2008 Mar,5.2,8.0,153135,22258,57.4,62.3,4.7,7.3,5.7,62.9,6.76,8.46
2008 Apr,4.8,7.7,153208,22762,57.9,62.6,4.4,6.6,5.0,63.1,6.24,7.92
2008 May,5.2,9.2,154003,22515,57.5,62.5,5.1,6.4,5.4,63.2,6.76,9.18
2008 Jun,5.7,9.9,155582,23020,55.3,62.8,5.7,7.6,5.8,63.4,7.41,10.26
2008 Jul,6.0,9.5,156300,23262,56.3,62.8,6.0,7.6,6.1,63.5,7.8,10.8
2008 Aug,6.1,9.4,155387,22890,56.2,62.3,6.4,8.0,5.8,63.0,7.93,11.52
2008 Sep,6.0,8.2,154509,23048,56.8,62.0,5.6,7.6,6.2,62.8,7.8,10.08
2008 Oct,6.1,8.6,155012,22675,57.1,62.0,5.7,8.4,6.5,62.8,7.93,10.26
2008 Nov,6.5,9.6,154624,22283,55.7,61.6,5.9,8.5,6.9,62.4,8.45,10.62
2008 Dec,7.1,9.5,154349,22138,57.0,61.0,6.0,9.4,8.1,61.7,9.23,10.8
2009 Jan,8.5,11.6,153445,21375,54.7,59.8,7.0,11.0,9.7,60.6,11.05,12.6
2009 Feb,8.9,12.0,153804,20976,56.8,59.6,7.2,12.1,10.4,60.5,11.57,12.96
2009 Mar,9.0,11.6,153728,21274,57.9,59.5,7.3,12.2,10.6,60.3,11.7,13.14
2009 Apr,8.6,9.7,153834,21750,59.0,59.8,7.1,10.9,9.9,60.7,11.18,12.78
2009 May,9.1,12.1,154336,21488,59.2,59.6,7.7,11.8,10.2,60.5,11.83,13.86
2009 Jun,9.7,12.4,155921,21787,58.9,59.8,8.9,12.1,10.4,60.7,12.61,16.02
2009 Jul,9.7,11.7,156255,21856,58.6,59.8,9.2,12.5,10.2,60.7,12.61,16.56
2009 Aug,9.6,12.5,154897,21695,57.7,59.3,8.9,13.0,10.1,60.3,12.48,16.02
2009 Sep,9.5,11.6,153617,21864,57.9,58.9,8.6,12.2,10.2,59.9,12.35,15.48
2009 Oct,9.5,12.0,153635,21856,60.8,58.8,8.5,12.4,10.3,59.8,12.35,15.3
2009 Nov,9.4,10.9,153539,22091,60.3,58.8,8.2,12.2,10.4,59.7,12.22,14.76
2009 Dec,9.7,12.2,152693,21290,60.0,58.2,8.1,12.9,11.1,59.2,12.61,14.58
2010 Jan,10.6,14.0,152957,21090,57.3,57.8,8.5,13.9,12.3,58.8,13.78,15.3
2010 Feb,10.4,12.9,153194,21102,59.0,57.9,8.5,13.4,12.2,58.8,13.52,15.3
2010 Mar,10.2,12.8,153660,21239,58.6,58.2,8.3,13.3,11.8,59.1,13.26,14.94
2010 Apr,9.5,13.6,153911,21816,59.8,58.7,8.2,11.9,10.6,59.6,12.35,14.76
2010 May,9.3,13.0,153866,22125,59.0,58.7,8.5,11.5,10.1,59.6,12.09,15.3
2010 Jun,9.6,12.8,154767,22541,59.6,58.9,8.8,12.3,10.3,59.8,12.48,15.84
2010 Jul,9.7,12.8,155270,22249,58.9,58.9,9.4,12.2,10.0,60.0,12.61,16.92
2010 Aug,9.5,11.9,154678,22415,59.6,58.8,9.3,11.9,9.8,59.8,12.35,16.74
2010 Sep,9.2,11.7,153854,22226,60.8,58.6,8.7,11.9,9.6,59.7,11.96,15.66
2010 Oct,9.0,11.0,153652,22281,61.5,58.6,8.6,12.0,9.4,59.5,11.7,15.48
2010 Nov,9.3,11.8,153698,22387,61.0,58.4,8.6,12.7,9.9,59.3,12.09,15.48
2010 Dec,9.1,11.7,153156,22153,60.1,58.3,8.0,13.0,10.2,59.2,11.83,14.4
2011 Jan,9.8,13.6,152536,21928,58.4,57.6,8.6,13.2,10.8,58.6,12.74,15.48
2011 Feb,9.5,13.6,152635,21614,58.4,57.8,8.4,12.5,10.5,58.7,12.35,15.12
2011 Mar,9.2,12.7,153022,21728,60.0,58.1,8.0,11.9,10.2,59.1,11.96,14.4
2011 Apr,8.7,11.5,152898,21741,59.8,58.4,7.9,11.2,9.3,59.4,11.31,14.22
2011 May,8.7,10.4,153449,22216,60.2,58.5,8.3,11.1,9.2,59.6,11.31,14.94
2011 Jun,9.3,11.9,154538,22260,60.1,58.5,9.1,11.5,9.6,59.6,12.09,16.38
2011 Jul,9.3,12.1,154812,22264,59.9,58.6,9.4,11.3,9.2,59.7,12.09,16.92
2011 Aug,9.1,11.0,154344,22292,60.0,58.5,9.2,11.1,9.0,59.7,11.83,16.56
2011 Sep,8.8,11.9,154022,22224,61.5,58.5,8.8,10.8,8.8,59.6,11.44,15.84
2011 Oct,8.5,11.1,154088,22648,64.0,58.7,8.3,11.0,8.7,59.7,11.05,14.94
2011 Nov,8.2,11.5,153683,22631,62.9,58.7,7.9,11.1,8.4,59.7,10.66,14.22
2011 Dec,8.3,10.9,153373,22647,61.6,58.5,7.7,11.1,8.8,59.4,10.79,13.86
2012 Jan,8.8,12.5,153485,22803,59.7,57.8,8.3,11.5,9.3,58.6,11.44,14.94
2012 Feb,8.7,11.6,154114,22470,60.5,58.0,8.1,11.4,9.3,58.9,11.31,14.58
